Table,Nom source,Auteur,Date Publication,Langage,Pays,Description Contenu,Technique utilisé pour la collecte
s43014-019-0001-8,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-019-0001-8",Nicole Brown,2019/10/12 16:25:00,en,USA,Polyphenol composition and antioxidant potential of mint leaves,Automatic with colab
s43014-019-0002-7,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-019-0002-7",Marta Gallego,2019/08/26 19:59:53,en,USA,The relevance of dipeptides and tripeptides in the bioactivity and taste of dry-cured ham,Automatic with colab
s43014-019-0003-6,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-019-0003-6",Ying Liang,2019/08/28 22:42:16,en,USA,Phytochemicals and antioxidant activity in four varieties of head cabbages commonly consumed in China,Automatic with colab
s43014-019-0005-4,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-019-0005-4",Avtar Singh,2019/11/25 13:05:49,en,USA,Chitooligosaccharides from squid pen prepared using different enzymes: characteristics and the effect on quality of surimi gel during refrigerated storage,Automatic with colab
s43014-019-0006-3,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-019-0006-3",Iliani Patinho,2019/10/31 14:38:04,en,USA,"Use of Agaricus bisporus mushroom in beef burgers: antioxidant, flavor enhancer and fat replacing potential",Automatic with colab
s43014-019-0007-2,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-019-0007-2",Fang Ji,2019/11/14 18:09:24,en,USA,"Occurrence, toxicity, production and detection of Fusarium mycotoxin: a review",Automatic with colab
s43014-019-0008-1,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-019-0008-1",Chufei Tang,2019/11/20 11:58:12,en,USA,Edible insects as a food source: a review,Automatic with colab
s43014-019-0009-0,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-019-0009-0",Yong Li,2019/11/26 15:45:17,en,USA,Uptake and accumulation of di-n-butyl phthalate in six leafy vegetables under hydroponic conditions,Automatic with colab
s43014-019-0010-7,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-019-0010-7",Q. Q. Tian,2019/12/23 16:33:52,en,USA,Breeding Rice lines for physio-functional food through indica ‘Zhaxima’ × japonica ‘Nanjing 46’ haploid technique,Automatic with colab
s43014-019-0011-6,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-019-0011-6",Ronamae Bradford,2019/11/26 07:48:24,en,USA,Development of milk powder containing Lactobacillus plantarum NCIMB 8826 immobilized with prebiotic hi-maize starch and survival under simulated gastric and intestinal conditions,Automatic with colab
s43014-019-0012-5,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-019-0012-5",Nasr Ullah Khan,2019/12/23 18:15:55,en,USA,An update on the maize zein-gene family in the post-genomics era,Automatic with colab
s43014-019-0014-3,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-019-0014-3",Sirat Sandil,2019/12/24 02:03:45,en,USA,Effect of irrigation water containing arsenic on elemental composition of bean and lettuce plants cultivated in calcareous sandy soil,Automatic with colab
s43014-019-0016-1,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-019-0016-1",Ye Zou,2020/01/18 22:00:23,en,USA,"Effect of ultrasound power on extraction kinetic model, and physicochemical and structural characteristics of collagen from chicken lung",Automatic with colab
s43014-019-0017-0,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-019-0017-0",Feijie Li,2020/01/17 03:21:38,en,USA,Developing emulsion gels by incorporating Jerusalem artichoke inulin and investigating their lipid oxidative stability,Automatic with colab
s43014-020-00021-1,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-020-00021-1",Jiangfeng Song,2020/03/27 11:06:42,en,USA,"Changes in the sugars, amino acids and organic acids of postharvest spermine-treated immature vegetable soybean (Glycine max L. Merr.) as determined by 1H NMR spectroscopy",Automatic with colab
s43014-020-00022-0,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-020-00022-0",A. S. Roslan,2020/03/31 13:52:46,en,USA,Effect of drying methods and parameters on the antioxidant properties of tea (Camellia sinensis) leaves,Automatic with colab
s43014-020-00023-z,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-020-00023-z",Srikanth Earpina,2020/04/30 15:48:28,en,USA,Muscadine or amla extracts standardized to ellagic acid content ameliorate glucolipotoxicity associated β-cell dysfunction via inhibition of IL-1β and improved insulin secretion,Automatic with colab
s43014-020-00024-y,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-020-00024-y",Abrehem Abad,2020/04/28 10:23:19,en,USA,Compositional characteristics and oxidative stability of chia seed oil (Salvia hispanica L),Automatic with colab
s43014-020-00025-x,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-020-00025-x",Tao Gao,2020/05/25 17:39:52,en,USA,"The pyruvate dehydrogenase kinase 2 (PDK2) is associated with conidiation, mycelial growth, and pathogenicity in Fusarium graminearum",Automatic with colab
s43014-020-00026-w,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-020-00026-w",Savita Budhwar,2020/05/29 07:44:08,en,USA,Efficacy of germination and probiotic fermentation on underutilized cereal and millet grains,Automatic with colab
s43014-020-00027-9,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-020-00027-9",Disna Kumari,2020/06/26 19:44:40,en,USA,Finger millet porridges subjected to different processing conditions showed low glycemic index and variable efficacy on plasma antioxidant capacity of healthy adults,Automatic with colab
s43014-020-00028-8,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-020-00028-8",Katsunori Tanaka,2020/07/29 20:12:48,en,USA,Classification of archaic rice grains excavated at the Mojiaoshan site within the Liangzhu site complex reveals an Indica and Japonica chloroplast complex,Automatic with colab
s43014-020-00029-7,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-020-00029-7",Hongduo Bao,2020/07/29 00:46:31,en,USA,Transient carriage and low-level colonization of orally administrated lytic and temperate phages in the gut of mice,Automatic with colab
s43014-020-00030-0,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-020-00030-0",Sabrina Brendel,2020/08/14 09:54:47,en,USA,Hop-induced formation of ethyl esters in dry-hopped beer,Automatic with colab
s43014-020-00031-z,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-020-00031-z",Jiangfeng Song,2020/07/30 10:17:57,en,USA,"Correction to: Changes in the sugars, amino acids and organic acids of postharvest sperminetreated immature vegetable soybean (Glycine max L. Merr.) as determined by 1H NMR spectroscopy",Automatic with colab
s43014-020-00032-y,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-020-00032-y",Arnau Vilas-Franquesa,2020/08/13 14:31:54,en,USA,Potential of sea buckthorn-based ingredients for the food and feed industry – a review,Automatic with colab
s43014-020-00033-x,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-020-00033-x",Franklin Bonilla,2020/09/16 03:19:21,en,USA,Influence of energy removal rate on the quality of minced meat from undersized crawfish during frozen storage,Automatic with colab
s43014-020-00034-w,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-020-00034-w",Yuan Gan,2020/08/28 20:11:47,en,USA,Establishment of a model of Mycoplasma hyopneumoniae infection using Bama miniature pigs,Automatic with colab
s43014-020-00035-9,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-020-00035-9",Xian Chen,2020/09/22 23:43:46,en,USA,Evaluation of suitable reference genes for normalization of quantitative real-time PCR analysis in rice plants under Xanthomonas oryzae pv. oryzae--infection and melatonin supplementation,Automatic with colab
s43014-020-00036-8,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-020-00036-8",Shu Yao,2020/09/28 20:50:50,en,USA,Effects of soluble starch synthase genes on eating and cooking quality in semi waxy japonica rice with Wxmp,Automatic with colab
s43014-020-0018-z,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-020-0018-z",Hiroaki Kanouchi,2020/02/07 22:44:14,en,USA,Lactobacillus pentosus S-PT84 and Rubus suavissimus leaf extract suppress lipopolysaccharide-induced gut permeability and egg allergen uptake,Automatic with colab
s43014-020-0019-y,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-020-0019-y",Weiguo Li,2020/02/12 00:38:30,en,USA,Estimation model of winter wheat disease based on meteorological factors and spectral information,Automatic with colab
s43014-020-0020-5,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-020-0020-5",Mrinal Samtiya,2020/03/02 23:39:08,en,USA,Plant food anti-nutritional factors and their reduction strategies: an overview,Automatic with colab
s43014-021-00063-z,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-021-00063-z",Qiuzhe Li,2021/07/27 18:45:43,en,USA,The optimization of ultrasonic-microwave assisted synergistic extraction of Lotus plumule extract rich in flavonoids and its hypoglycemic activity,Automatic with colab
s43014-021-00065-x,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-021-00065-x",Haleh Forouhandeh,2021/07/10 23:14:33,en,USA,Phenotypic and phylogenetic characterization of Lactobacillus species isolated from traditional Lighvan cheese,Automatic with colab
s43014-021-00066-w,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-021-00066-w",Chui Yiu Bamboo Chook,2021/07/10 11:13:51,en,USA,Crocodile blood supplementation protects vascular function in diabetic mice,Automatic with colab
s43014-021-00068-8,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-021-00068-8",Yesica A. Czajkowska–González,2021/09/03 13:11:41,en,USA,Addition of phenolic compounds to bread: antioxidant benefits and impact on food structure and sensory characteristics,Automatic with colab
s43014-021-00069-7,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-021-00069-7",Alejandro Heres,2021/08/20 22:12:04,en,USA,Correction to: Inhibition of 3-hydroxy-3-methyl-glutarylcoenzyme A reductase enzyme by dipeptides identified in dry-cured ham,Automatic with colab
s43014-021-00070-0,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-021-00070-0",Xin Liu,2021/09/20 11:22:27,en,USA,The antioxidant methyl gallate inhibits fungal growth and deoxynivalenol production in Fusarium graminearum,Automatic with colab
s43014-021-00071-z,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-021-00071-z",Mahamadé Goubgou,2021/09/07 17:46:51,en,USA,Biscuits: a systematic review and meta-analysis of improving the nutritional quality and health benefits,Automatic with colab
s43014-021-00072-y,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-021-00072-y",Oday Alrifai,2021/10/16 14:53:55,en,USA,Effect of combined light-emitting diodes on the accumulation of glucosinolates in Brassica microgreens,Automatic with colab
s43014-021-00073-x,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-021-00073-x",Fuhao Wang,2021/10/01 18:30:42,en,USA,"Nutritional, phytochemical and antioxidant properties of 24 mung bean (Vigna radiate L.) genotypes",Automatic with colab
s43014-021-00074-w,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-021-00074-w",Mackenzie M. Hansen,2021/10/07 12:07:22,en,USA,"Effects of Aronia polyphenols on the physico-chemical properties of whey, soy, and pea protein isolate dispersions",Automatic with colab
s43014-021-00075-9,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-021-00075-9",Soumya Majumder,2021/10/21 23:44:00,en,USA,"Production of fermented tea petal decoction with insights into in vitro biochemical tests, antioxidant assay and GC-MS analysis",Automatic with colab
s43014-021-00076-8,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-021-00076-8",Na Thi Ty  Ngo,2021/10/25 13:15:18,en,USA,"Functional properties of protein isolates from camelina (Camelina sativa (L.) Crantz) and flixweed (sophia, Descurainis sophia L.) seed meals",Automatic with colab
s43014-021-00077-7,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-021-00077-7",Venkatesh Balan,2021/10/25 16:50:48,en,USA,Nutritious mushroom protein crisp – healthy alternative to starchy snack,Automatic with colab
s43014-021-00078-6,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-021-00078-6",Judith Uchenna Chima,2021/12/09 21:53:59,en,USA,Symbiotic and adverse interplay of hypogeal germination periods on brown rice (Oryza sativa): nutrient and non-nutrient characteristics,Automatic with colab
s43014-021-00079-5,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-021-00079-5",Cong-Cong Zhuang,2021/12/17 13:12:08,en,USA,High-yield production of secoisolariciresinol diglucoside from flaxseed hull by extraction with alcoholic ammonium hydroxide and chromatography on microporous resin,Automatic with colab
s43014-021-00080-y,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-021-00080-y",Erica S. King,2022/01/20 21:55:59,en,USA,Refrigerated and frozen storage impact aronia berry quality,Automatic with colab
s43014-021-00081-x,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-021-00081-x",Marrium Liaquat,2022/01/14 14:30:08,en,USA,"Roasted fox nuts (Euryale Ferox L.) contain higher concentration of phenolics, flavonoids, minerals and antioxidants, and exhibit lower Glycemic Index (GI) in human subjects",Automatic with colab
s43014-021-00082-w,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-021-00082-w",Mackenzie M. Hansen,2022/01/15 20:23:27,en,USA,Bioactives and extracts affect the physico-chemical properties of concentrated whey protein isolate dispersions,Automatic with colab
s43014-022-00083-3,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-022-00083-3",Sara Adel Amer,2022/02/04 18:31:17,en,USA,"Production and evaluation of novel functional extruded corn snacks fortified with ginger, bay leaves and turmeric powder",Automatic with colab
s43014-022-00084-2,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-022-00084-2",Saji Gomez,2022/02/20 04:57:58,en,USA,"Variation in physico-chemical, organoleptic and microbial qualities of intermediate moisture pineapple (Ananas comosus (L.) Merr.) slices during storage",Automatic with colab
s43014-022-00085-1,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-022-00085-1", Debasis Bagchi,2022/03/22 13:18:23,en,USA,"A technological breakthrough in developing a state-of-the-art Nutraceutical sports nutrition formulation to enhance vitality, mental acuity, vigilance, energy, and stamina",Automatic with colab
s43014-022-00086-0,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-022-00086-0",Amrita Poonia,2022/03/25 06:35:48,en,USA,"Application of light emitting diodes (LEDs) for food preservation, post-harvest losses and production of bioactive compounds: a review",Automatic with colab
s43014-022-00087-z,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-022-00087-z",Jiankang Wang,2022/03/23 06:40:26,en,USA,Mono- and dioleyl p-coumarate phenolipids and their antioxidant activity in a muscle food model system,Automatic with colab
s43014-022-00088-y,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-022-00088-y", Nusrat Jan,2022/04/23 22:18:55,en,USA,"Influence of replacement of wheat flour by rice flour on rheo-structural changes, in vitro starch digestibility and consumer acceptability of low-gluten pretzels",Automatic with colab
s43014-022-00089-x,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-022-00089-x", K. S. Gayathry,2022/05/24 14:48:16,en,USA,A comprehensive review on bitter gourd (,Automatic with colab
s43014-022-00090-4,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-022-00090-4", Lei Qian,2022/05/26 02:34:30,en,USA,The exploration and utilization of functional substances in edible insects: a review,Automatic with colab
s43014-022-00091-3,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-022-00091-3", Oluwole Steve Ijarotimi,2022/06/15 07:47:44,en,USA,"Nutritional quality, functional property and acceptability of maize (",Automatic with colab
s43014-022-00092-2,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-022-00092-2", Ying Liang,2022/05/20 10:46:17,en,USA,Effect of Chinese steamed bun and bread processing on pesticide residues in wheat flour,Automatic with colab
s43014-022-00093-1,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-022-00093-1", Dupe T. Otolowo,2022/07/04 11:24:21,en,USA,"Effects of the substitution of cow’s milk with soymilk on the micronutrients, microbial, and sensory qualities of yoghurt",Automatic with colab
s43014-022-00094-0,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-022-00094-0", Kaveesha P. Seneviratne,2022/06/29 01:48:14,en,USA,Ethanolic extract of rice bran: a thermally stable preservative for edible oils and cake,Automatic with colab
s43014-022-00095-z,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-022-00095-z", Tuany Camila Honaiser,2022/07/20 13:40:19,en,USA,Comparison of grain protein profiles of Brazilian cowpea (,Automatic with colab
s43014-022-00096-y,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-022-00096-y", Addisu Ebbisa,2022/07/27 08:09:44,en,USA,Mechanisms underlying cereal/legume intercropping as nature-based biofortification to address deficiency of micronutrients. A review,Automatic with colab
s43014-022-00097-x,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-022-00097-x", Anoma Chandrasekara,2022/07/14 16:50:25,en,USA,Effect of processing on the antioxidant activities of porridges and,Automatic with colab
s43014-022-00098-w,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-022-00098-w", Vijay Kumar,2022/07/22 09:50:57,en,USA,"Probiotics media: significance, challenges, and future perspective: a mini review",Automatic with colab
s43014-022-00099-9,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-022-00099-9", Opeyemi Abiala,2022/07/28 19:06:17,en,USA,Quality attributes of chicken nuggets extended with different legume flours,Automatic with colab
s43014-022-00100-5,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-022-00100-5", Imran Pasha,2022/08/05 06:44:48,en,USA,Probing nutritional and functional properties of salted noodles supplemented with ripen Banana peel powder,Automatic with colab
s43014-022-00101-4,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-022-00101-4", Rohit Sharma,2022/07/28 22:20:50,en,USA,Probiotic fermentation of polyphenols: potential sources of novel functional foods,Automatic with colab
s43014-022-00102-3,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-022-00102-3", Jiping Han,2022/09/19 11:27:14,en,USA,Effects of freeze-thaw cycles on physicochemical properties and structure of cooked crayfish (,Automatic with colab
s43014-022-00103-2,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-022-00103-2", Lizhu Zhang,2022/10/27 22:44:02,en,USA,Global seaweed farming and processing in the past 20 years,Automatic with colab
s43014-022-00104-1,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-022-00104-1", Amrita Poonia,2022/09/23 05:22:41,en,USA,"Bioactive compounds, nutritional profile and health benefits of colostrum: a review",Automatic with colab
s43014-022-00105-0,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-022-00105-0", Runsheng Ren,2022/09/20 21:48:03,en,USA,Genome-wide identification and characterization of thaumatin-like protein family genes in wheat and analysis of their responses to Fusarium head blight infection,Automatic with colab
s43014-022-00106-z,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-022-00106-z", Samar Aref,2022/10/15 02:41:05,en,USA,Improvement of the shelf life of grey mullet,Automatic with colab
s43014-022-00107-y,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-022-00107-y", Cheng Luo,2022/11/09 16:40:04,en,USA,Insight into the mechanism of fracture properties modulated by microstructure in the myofibrillar protein and polysaccharide gel systems,Automatic with colab
s43014-022-00108-x,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-022-00108-x", Aparna Kumari,2022/11/24 22:36:52,en,USA,"Optimization of the iron-enriched extruded snack containing jackfruit seed flour, mung bean flour and ferrous ammonium phosphate by using response surface methodology",Automatic with colab
s43014-022-00109-w,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-022-00109-w", Soumya Majumder,2022/11/08 04:12:50,en,USA,Brewing and biochemical characterization of,Automatic with colab
s43014-022-00110-3,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-022-00110-3", Chao Ai,2022/11/28 01:30:31,en,USA,Variations in the substrate composition and microbial community structure in the anaerobic fermentation process using the green algae,Automatic with colab
s43014-022-00111-2,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-022-00111-2", Emmanuel Kyereh,2022/11/19 21:07:27,en,USA,Immobilization of,Automatic with colab
s43014-022-00112-1,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-022-00112-1",Shrushti Makwana,2022/12/17 07:36:53,en,USA,Effects of probiotic fermented milk on management of obesity studied in high-fat-diet induced obese rat model,Automatic with colab
s43014-022-00113-0,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-022-00113-0","Lizhu Zhang, Wei Liao, Yajun Huang, Yuxi Wen, Yaoyao Chu and Chao Zhao",2022/13/10,English,USA,"Correction: Global seaweed farming and processing in the past 20 years",Automatic with colab
s43014-022-00114-z,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-022-00114-z", Meseret Azene,2022/11/22 19:57:44,en,USA,"Nutritional, health benefits and toxicity of underutilized garden cress seeds and its functional food products: a review",Automatic with colab
s43014-022-00115-y,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-022-00115-y", Sajad Ahmad Mir,2022/12/03 05:00:26,en,USA,"Application of sodium diacetate, potassium lactate and calcium lactate as a microbial decontaminant during processing and storage of the traditional meatballs (rista)",Automatic with colab
s43014-022-00116-x,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-022-00116-x", Laércio Galvão Maciel,2022/12/13 06:48:37,en,USA,Plant-based pecan nut cake beverage enrichment of phytochemicals and antioxidant properties using multi-stage block freeze concentration,Automatic with colab
s43014-022-00117-w,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-022-00117-w", Kankona Dey,2022/12/30 15:52:10,en,USA,"Development of Galactooligosaccharide (GOS) added gummies: sensory, characterization and shelf quality",Automatic with colab
s43014-022-00118-9,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-022-00118-9",Vasundhara Rao & Amrita Poonia,2023/02/01,English,"USA","Citrullus colocynthis (bitter apple): bioactive compounds, nutritional profile, nutraceutical properties and potential food applications: a review",Automatic with colab
s43014-022-00119-8,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-022-00119-8", Rusli Fridyanto,2022/12/29 15:03:38,en,USA,Multivariate analysis of structural and functional properties of fibres from apple pomace using different extraction methods,Automatic with colab
s43014-022-00120-1,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-022-00120-1", Esra Kahraman,2022/12/22 21:57:37,en,USA,Physicochemical and sensory characteristics of traditional Kırklareli meatballs with added cowpea (,Automatic with colab
s43014-022-00121-0,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-022-00121-0", Fereidoon Shahidi,2022/12/28 08:47:28,en,USA,Phenolic-protein interactions: insight from in-silico analyses – a review,Automatic with colab
s43014-022-00122-z,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-022-00122-z", Claire S. Zubia,2023/01/06 05:55:58,en,USA,Impact of drying on the bioactive compounds and antioxidant properties of,Automatic with colab
s43014-022-00123-y,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-022-00123-y", Wenshu Ma,2023/01/04 23:32:22,en,USA,Research progress in lipid metabolic regulation of bioactive peptides,Automatic with colab
s43014-022-00124-x,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-022-00124-x", Katso Twinkle Ntshambiwa,2022/12/30 06:31:45,en,USA,"Nutritional composition, bioactive components and antioxidant activity of",Automatic with colab
s43014-022-00125-w,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-022-00125-w", Thirukkumar Subramani,2022/12/31 05:17:12,en,USA,"Effect of cottonseed milk on growth performance, hematological and semen characteristics in male Wistar albino rats",Automatic with colab
s43014-022-00126-9,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-022-00126-9",Mayowa Saheed Sanusi,2023/01/06 03:01:28,en,USA,"Physicochemical, antioxidant and microbial properties of sweetened yoghurt produced from partial substitution of sugar with soursop puree",Automatic with colab
s43014-023-00129-0,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-023-00129-0", Christabel Tachie,2023/01/25 07:47:54,en,USA,Trends and innovations in formulation of plant-based foods,Automatic with colab
s43014-023-00130-7,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-023-00130-7", Eyassu Seifu,2023/01/18 11:15:04,en,USA,"Camel milk products: innovations, limitations and opportunities",Automatic with colab
s43014-023-00131-6,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-023-00131-6", Reema F. Tayyem,2023/01/31 11:03:59,en,USA,Dietary patterns associated with the risk of osteoporosis in postmenopausal women,Automatic with colab
s43014-023-00132-5,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-023-00132-5", Jingxiang Xu,2023/01/30 02:49:09,en,USA,An overview on the nutritional and bioactive components of green seaweeds,Automatic with colab
s43014-023-00133-4,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-023-00133-4", Swati Soni,2023/01/29 23:32:29,en,USA,A review on the immunomodulatory properties of functional nutraceuticals as dietary interventions for children to combat COIVD-19 related infections,Automatic with colab
s43014-023-00137-0,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-023-00137-0", Roberta Barreto de Andrade Bulos,2023/02/07 16:34:59,en,USA,Scientific and technological research on the use of wine lees,Automatic with colab
s43014-023-00138-z,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-023-00138-z", Ashiq Hussain,2023/02/14 01:57:13,en,USA,A review on biochemical constituents of pumpkin and their role as pharma foods; a key strategy to improve health in post COVID 19 period,Automatic with colab
s43014-023-00139-y,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-023-00139-y", John O. Onuh,2023/02/21 14:13:49,en,USA,Cardiovascular disease protective properties of blueberry polyphenols (,Automatic with colab
s43014-023-00140-5,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-023-00140-5", Archana Bachheti,2023/02/16 16:52:52,en,USA,Bioactive constituents and health promoting compounds of underutilized fruits of the northern Himalayas of India: a review,Automatic with colab
s43014-023-00142-3,"Food Production, Processing and Nutrition 
https://doi.org/10.1186/s43014-023-00142-3", Nelson Tselaesele,2023/03/01 15:11:30,en,USA,"Plant-based traditional foods and beverages of Gumare Village, Botswana",Automatic with colab
